               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  53,            0.044931,            0.055047,            0.014478,             0.61004,             0.59593,             0.63618,             0.36159,            0.042882,            0.057364,            0.013057,           0.0028815,           0.0028815,           0.0028815
                  54,            0.045047,            0.053948,            0.014182,             0.58294,             0.68224,             0.67284,              0.3756,            0.043302,             0.05666,            0.012292,           0.0028696,           0.0028696,           0.0028696
                  55,            0.045607,            0.054205,            0.014446,             0.68937,             0.64453,             0.67143,             0.37647,            0.043512,            0.057194,            0.011676,           0.0028575,           0.0028575,           0.0028575
                  56,            0.045445,            0.055824,            0.014641,             0.66958,             0.56421,             0.64576,              0.3695,            0.042171,            0.056134,            0.012548,           0.0028453,           0.0028453,           0.0028453
                  57,             0.04486,            0.054176,            0.014438,              0.6822,             0.60827,             0.65149,             0.35339,            0.044031,            0.057287,            0.012628,           0.0028329,           0.0028329,           0.0028329
                  58,            0.045519,            0.053882,            0.014005,              0.6758,             0.56053,             0.62957,             0.36582,            0.042438,            0.058875,            0.013939,           0.0028203,           0.0028203,           0.0028203
                  59,            0.044978,            0.054942,            0.013976,             0.65585,             0.65932,             0.67368,             0.37697,            0.042743,            0.056943,            0.012161,           0.0028075,           0.0028075,           0.0028075
                  60,            0.044759,            0.054948,            0.013926,             0.58434,             0.64502,             0.64611,             0.37914,            0.041803,            0.057736,            0.012221,           0.0027945,           0.0027945,           0.0027945
                  61,            0.044689,            0.053753,            0.013853,             0.66234,             0.63454,              0.6668,             0.38677,             0.04149,            0.056081,            0.011872,           0.0027814,           0.0027814,           0.0027814
                  62,            0.044906,             0.05489,            0.013943,             0.66284,             0.61946,             0.66329,             0.37805,            0.042237,            0.056853,            0.012531,           0.0027681,           0.0027681,           0.0027681
                  63,             0.04428,             0.05358,            0.013648,             0.65636,             0.60061,             0.65084,             0.36716,             0.04291,            0.056588,            0.012463,           0.0027546,           0.0027546,           0.0027546
                  64,            0.044253,            0.053977,            0.013458,             0.65586,             0.60184,             0.65649,             0.38342,            0.041592,            0.056539,            0.012243,            0.002741,            0.002741,            0.002741
                  65,             0.04441,            0.054839,            0.013816,             0.73166,             0.55256,             0.66271,             0.38136,            0.042224,            0.056375,            0.012609,           0.0027271,           0.0027271,           0.0027271
