               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                 122,            0.020451,            0.030711,           0.0037145,             0.73829,             0.68442,             0.72294,             0.45015,            0.025041,            0.040544,           0.0093185,           0.0040105,           0.0040105,           0.0040105
                 123,            0.019934,            0.030807,           0.0032979,             0.74533,             0.67227,             0.72451,             0.45211,            0.025056,            0.040972,           0.0090202,            0.003961,            0.003961,            0.003961
                 124,            0.020311,            0.030395,           0.0036791,             0.71261,             0.69234,              0.7187,             0.44868,            0.025266,            0.040747,           0.0091947,           0.0039115,           0.0039115,           0.0039115
                 125,            0.020625,            0.030297,           0.0034802,              0.7178,             0.68585,             0.71645,              0.4439,            0.025303,             0.04159,            0.009594,            0.003862,            0.003862,            0.003862
                 126,            0.020288,            0.030994,           0.0034391,             0.73254,             0.68132,             0.72062,              0.4466,            0.025259,            0.040605,           0.0099036,           0.0038125,           0.0038125,           0.0038125
                 127,            0.019941,            0.029966,           0.0031725,             0.75248,             0.68207,             0.72394,             0.44997,            0.025222,            0.041513,           0.0096399,            0.003763,            0.003763,            0.003763
                 128,             0.01993,            0.029421,           0.0034424,             0.75289,             0.68021,             0.71567,             0.44487,            0.025713,            0.042082,           0.0096854,           0.0037135,           0.0037135,           0.0037135
                 129,            0.019802,            0.029422,           0.0034159,             0.73125,             0.69968,             0.72421,             0.45113,            0.025937,            0.042109,           0.0093859,            0.003664,            0.003664,            0.003664
                 130,            0.019172,            0.030257,           0.0032456,             0.72614,             0.69693,             0.72057,              0.4469,            0.025379,            0.041581,           0.0095898,           0.0036145,           0.0036145,           0.0036145
                 131,            0.019433,            0.029679,            0.003163,             0.74771,             0.68462,             0.71731,             0.44494,            0.025429,            0.041829,           0.0095378,            0.003565,            0.003565,            0.003565
                 132,            0.019329,            0.030022,           0.0031262,             0.74289,             0.67936,             0.71477,             0.44511,            0.025616,            0.042048,           0.0096514,           0.0035155,           0.0035155,           0.0035155
                 133,            0.019608,            0.029424,           0.0031905,             0.72581,             0.69005,             0.71193,             0.44188,            0.025179,             0.04238,           0.0095339,            0.003466,            0.003466,            0.003466
                 134,            0.019313,            0.028811,           0.0031433,             0.72811,             0.69251,             0.70719,             0.43655,            0.025238,            0.042468,           0.0096723,           0.0034165,           0.0034165,           0.0034165
                 135,             0.01911,            0.029147,           0.0031174,             0.70973,             0.70104,             0.71422,             0.43981,            0.025085,            0.042039,           0.0092067,            0.003367,            0.003367,            0.003367
                 136,            0.019471,            0.029203,           0.0029488,             0.75176,             0.67397,             0.71606,             0.43962,            0.025552,            0.042788,           0.0097005,           0.0033175,           0.0033175,           0.0033175
                 137,            0.019268,            0.029474,            0.002768,             0.75834,             0.67463,             0.71543,             0.44283,            0.025601,            0.042664,           0.0095534,            0.003268,            0.003268,            0.003268
                 138,            0.019114,            0.028869,           0.0029486,             0.75814,             0.66118,             0.71218,             0.44106,            0.025612,            0.042935,           0.0098995,           0.0032185,           0.0032185,           0.0032185
                 139,            0.018931,            0.028482,           0.0029875,             0.75172,             0.66539,             0.70923,             0.44122,            0.025543,            0.043553,           0.0098944,            0.003169,            0.003169,            0.003169
                 140,            0.018634,            0.028813,           0.0029581,             0.73686,              0.6846,             0.71351,             0.44178,            0.025827,            0.043588,           0.0094033,           0.0031195,           0.0031195,           0.0031195
                 141,            0.018369,            0.027822,            0.002655,             0.74131,             0.67602,             0.70821,              0.4374,            0.025856,            0.043181,           0.0094053,             0.00307,             0.00307,             0.00307
                 142,            0.018452,            0.028392,           0.0029125,             0.72778,             0.68082,             0.71187,             0.44013,            0.025589,            0.043194,           0.0092794,           0.0030205,           0.0030205,           0.0030205
                 143,            0.018546,            0.028391,           0.0027447,             0.74533,             0.67879,              0.7171,             0.44294,            0.025353,            0.043659,           0.0093828,            0.002971,            0.002971,            0.002971
                 144,            0.018107,              0.0276,           0.0027488,             0.71474,             0.69309,              0.7115,             0.43918,            0.025581,             0.04414,           0.0094984,           0.0029215,           0.0029215,           0.0029215
                 145,            0.018226,            0.028628,           0.0025086,             0.71476,             0.69741,             0.71569,             0.44378,            0.025711,             0.04351,           0.0093713,            0.002872,            0.002872,            0.002872
                 146,            0.017996,            0.027576,           0.0028154,             0.73787,             0.67167,             0.70878,             0.44009,            0.025463,            0.043695,            0.009569,           0.0028225,           0.0028225,           0.0028225
                 147,            0.018572,            0.027945,           0.0026926,             0.72802,             0.67456,             0.70278,             0.43368,            0.025401,            0.044194,           0.0098829,            0.002773,            0.002773,            0.002773
                 148,            0.017878,            0.027482,           0.0026028,             0.69937,             0.70959,             0.70657,             0.43701,            0.025286,            0.043769,           0.0092145,           0.0027235,           0.0027235,           0.0027235
                 149,            0.018159,            0.027558,           0.0024788,             0.74039,             0.67168,             0.70702,             0.43824,            0.025354,            0.043654,           0.0096601,            0.002674,            0.002674,            0.002674
                 150,            0.017087,             0.02774,           0.0026357,             0.74974,             0.67442,             0.70475,             0.43685,            0.025146,            0.044085,           0.0098958,           0.0026245,           0.0026245,           0.0026245
                 151,            0.017931,            0.027694,           0.0026356,              0.7056,             0.70086,             0.70472,             0.43839,            0.025498,            0.044459,           0.0099942,            0.002575,            0.002575,            0.002575
                 152,            0.017322,            0.027521,           0.0023228,             0.74334,             0.66512,             0.70618,             0.43732,            0.025321,            0.044611,           0.0099285,           0.0025255,           0.0025255,           0.0025255
                 153,             0.01697,            0.027127,           0.0024561,             0.70571,             0.68803,             0.70554,             0.43805,            0.025442,            0.044981,           0.0098817,            0.002476,            0.002476,            0.002476
                 154,            0.017105,            0.027216,           0.0025564,             0.73121,             0.68324,             0.70583,              0.4376,            0.025445,            0.045038,           0.0099194,           0.0024265,           0.0024265,           0.0024265
                 155,            0.017003,            0.027358,           0.0023435,             0.72728,             0.69086,             0.70579,             0.43716,            0.025549,            0.044726,            0.010114,            0.002377,            0.002377,            0.002377
                 156,            0.016855,            0.026623,           0.0022971,             0.75426,              0.6541,             0.70467,             0.43551,            0.025526,             0.04547,           0.0099101,           0.0023275,           0.0023275,           0.0023275
                 157,            0.017024,            0.027135,           0.0023618,             0.73512,             0.67016,             0.70339,             0.43517,            0.025375,            0.044769,           0.0099954,            0.002278,            0.002278,            0.002278
                 158,            0.016559,            0.027146,           0.0022683,             0.74218,             0.67097,             0.70617,             0.43569,            0.025398,             0.04616,           0.0096557,           0.0022285,           0.0022285,           0.0022285
                 159,            0.016949,            0.026295,           0.0023209,             0.72425,             0.68597,             0.70748,             0.43762,            0.025764,            0.045696,            0.010022,            0.002179,            0.002179,            0.002179
